Edad,TipoEmpleo,Educación,EstadoCivil,Profesión,Raza,Género,CargaHorariaSemanal,IngresoAnual
32,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,+50mil
62,Autónomo,Universitario,Casadx,Profesional,Blancx,Masculino,60,+50mil
31,Autónomo,Universitario,Solterx,Ventas,Negrx,Masculino,40,+50mil
51,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,50,+50mil
37,Privado,Magíster,Divorciadx,Oficinista,Blancx,Femenino,45,50milO-
45,Privado,5º-6º,Casadx,Obrero,Blancx,Masculino,38,50milO-
47,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,40,50milO-
31,Otro/Desconocido,Secundario,Divorciadx,Otro/Desconocido,Blancx,Masculino,75,50milO-
75,Autónomo,11º,Casadx,Oficinista,Blancx,Masculino,30,50milO-
43,Privado,Magíster,Casadx,Profesional,Otro,Masculino,50,50milO-
39,Privado,Tecnicatura,Casadx,Obrero,Blancx,Masculino,60,+50mil
30,Privado,Universitario,Casadx,Profesional,Blancx,Masculino,40,+50mil
27,Privado,5º-6º,Solterx,Obrero,Blancx,Masculino,40,50milO-
44,Privado,Secundario,Casadx,Obrero,Indígena/Esquimal,Masculino,40,50milO-
53,Gubernamental,Magíster,Divorciadx,Profesional,Blancx,Femenino,35,+50mil
40,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,40,50milO-
18,Privado,11º,Solterx,Ventas,Blancx,Femenino,20,50milO-
33,Privado,Universitario,Casadx,Servicio,Negrx,Masculino,40,50milO-
20,Privado,Secundario,Solterx,Ventas,Blancx,Masculino,40,50milO-
38,Privado,UniversitarioIncompleto,Casadx,Oficinista,Negrx,Masculino,50,50milO-
48,Privado,Secundario,Divorciadx,Oficinista,Blancx,Femenino,35,50milO-
46,Autónomo,Secundario,Casadx,Oficinista,Blancx,Masculino,40,50milO-
51,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
35,Autónomo,Secundario,Solterx,Servicio,Blancx,Femenino,30,50milO-
24,Privado,7º-8º,Solterx,Obrero,Blancx,Masculino,40,50milO-
30,Privado,UniversitarioIncompleto,Divorciadx,Obrero,Blancx,Masculino,50,50milO-
70,Privado,Secundario,Casadx,Oficinista,Blancx,Masculino,30,50milO-
26,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,44,50milO-
34,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
46,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,+50mil
70,Privado,Secundario,Casadx,Oficinista,Blancx,Femenino,5,50milO-
37,Gubernamental,UniversitarioIncompleto,Casadx,Servicio,Blancx,Masculino,40,50milO-
36,Autónomo,UniversitarioIncompleto,Divorciadx,Ventas,Blancx,Femenino,35,50milO-
23,Privado,9º,Solterx,Obrero,Blancx,Femenino,40,50milO-
28,Privado,Secundario,Casadx,Ventas,Blancx,Masculino,40,50milO-
44,Autónomo,UniversitarioIncompleto,Casadx,Oficinista,Blancx,Masculino,50,+50mil
58,Privado,Secundario,Divorciadx,Obrero,Blancx,Masculino,30,50milO-
53,Privado,UniversitarioIncompleto,Casadx,Oficinista,Blancx,Masculino,60,+50mil
23,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,40,50milO-
26,Privado,Secundario,Solterx,Obrero,Negrx,Masculino,40,50milO-
21,Otro/Desconocido,UniversitarioIncompleto,Casadx,Otro/Desconocido,Blancx,Masculino,40,50milO-
34,Gubernamental,Magíster,Divorciadx,Profesional,Blancx,Femenino,50,50milO-
43,Privado,11º,Casadx,Obrero,Blancx,Masculino,40,50milO-
22,Privado,UniversitarioIncompleto,Solterx,Servicio,Negrx,Masculino,20,50milO-
41,Privado,UniversitarioIncompleto,Casadx,Obrero,Indígena/Esquimal,Masculino,50,+50mil
36,Privado,Secundario,Casadx,Oficinista,Asiáticx/IsleñxDelPacífico,Masculino,40,50milO-
41,Gubernamental,Universitario,Casadx,Profesional,Blancx,Femenino,20,50milO-
27,Privado,Secundario,Solterx,Oficinista,Blancx,Masculino,40,50milO-
42,Autónomo,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,60,50milO-
27,Privado,Tecnicatura,Solterx,Oficinista,Blancx,Femenino,35,50milO-
41,Privado,Secundario,Divorciadx,Servicio,Blancx,Masculino,40,50milO-
32,Privado,Universitario,Casadx,Oficinista,Asiáticx/IsleñxDelPacífico,Femenino,40,+50mil
21,Privado,UniversitarioIncompleto,Solterx,Oficinista,Asiáticx/IsleñxDelPacífico,Masculino,20,50milO-
44,Privado,Universitario,Casadx,Oficinista,Negrx,Masculino,50,+50mil
29,Privado,Universitario,Solterx,Oficinista,Blancx,Masculino,40,50milO-
19,Autónomo,UniversitarioIncompleto,Solterx,Servicio,Blancx,Femenino,22,50milO-
21,Gubernamental,UniversitarioIncompleto,Solterx,Oficinista,Blancx,Masculino,40,50milO-
46,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
38,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,55,+50mil
43,Privado,UniversitarioIncompleto,Solterx,Oficinista,Blancx,Masculino,48,+50mil
54,Autónomo,Secundario,Casadx,Ventas,Blancx,Masculino,50,+50mil
38,Privado,Magíster,Casadx,Oficinista,Blancx,Masculino,60,+50mil
18,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Blancx,Masculino,40,50milO-
50,Privado,Secundario,Casadx,Oficinista,Blancx,Femenino,40,+50mil
30,Privado,Tecnicatura,Casadx,Profesional,Blancx,Femenino,36,+50mil
30,Privado,9º,Casadx,Obrero,Blancx,Masculino,40,50milO-
28,Gubernamental,Secundario,Solterx,Oficinista,Indígena/Esquimal,Femenino,35,50milO-
26,Privado,Tecnicatura,Solterx,Oficinista,Blancx,Femenino,45,50milO-
37,Gubernamental,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,43,50milO-
32,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,50,+50mil
64,Gubernamental,Magíster,Casadx,Profesional,Blancx,Femenino,5,+50mil
18,Privado,Secundario,Solterx,Ventas,Blancx,Femenino,28,50milO-
30,Privado,UniversitarioIncompleto,Casadx,Oficinista,Blancx,Masculino,30,50milO-
36,Otro/Desconocido,Tecnicatura,Casadx,Otro/Desconocido,Blancx,Femenino,8,50milO-
18,Privado,11º,Solterx,Servicio,Negrx,Masculino,30,50milO-
27,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
49,Privado,9º,Casadx,Servicio,Blancx,Masculino,40,50milO-
46,Gubernamental,Secundario,Casadx,Servicio,Blancx,Masculino,43,+50mil
37,Privado,Secundario,Casadx,Oficinista,Blancx,Masculino,40,50milO-
30,Privado,UniversitarioIncompleto,Divorciadx,Obrero,Blancx,Masculino,40,50milO-
29,Privado,Secundario,Divorciadx,Profesional,Otro,Femenino,30,50milO-
22,Otro/Desconocido,Secundario,Solterx,Otro/Desconocido,Blancx,Masculino,40,50milO-
25,Autónomo,Secundario,Casadx,Obrero,Blancx,Masculino,30,50milO-
38,Privado,Secundario,Separadx,Servicio,Negrx,Femenino,30,50milO-
32,Otro/Desconocido,Universitario,Divorciadx,Otro/Desconocido,Blancx,Femenino,40,50milO-
35,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,50,50milO-
56,Privado,Magíster,Casadx,Oficinista,Blancx,Masculino,80,+50mil
29,Privado,UniversitarioIncompleto,Divorciadx,Oficinista,Blancx,Femenino,40,50milO-
41,Privado,Secundario,Casadx,Servicio,Blancx,Masculino,40,50milO-
47,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
23,Privado,Universitario,Solterx,Oficinista,Asiáticx/IsleñxDelPacífico,Femenino,40,50milO-
46,Autónomo,Universitario,Casadx,Ventas,Blancx,Masculino,45,+50mil
28,Gubernamental,Secundario,Solterx,Servicio,Negrx,Masculino,40,50milO-
39,Privado,Universitario,Divorciadx,Oficinista,Blancx,Femenino,20,50milO-
42,Autónomo,UniversitarioIncompleto,Casadx,Obrero,Blancx,Femenino,50,50milO-
39,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,48,+50mil
68,Otro/Desconocido,7º-8º,Casadx,Otro/Desconocido,Blancx,Masculino,30,50milO-
37,Autónomo,Universitario,Casadx,Obrero,Blancx,Masculino,55,+50mil
57,Privado,FormaciónProfesional,Solterx,Profesional,Blancx,Femenino,40,50milO-
22,Privado,UniversitarioIncompleto,Solterx,Servicio,Negrx,Femenino,30,50milO-
24,Privado,Tecnicatura,Solterx,Oficinista,Blancx,Masculino,30,+50mil
19,Privado,UniversitarioIncompleto,Solterx,Obrero,Blancx,Masculino,50,50milO-
55,Privado,Tecnicatura,Divorciadx,Ventas,Negrx,Femenino,30,50milO-
37,Gubernamental,Secundario,Casadx,Servicio,Blancx,Masculino,40,50milO-
37,Gubernamental,UniversitarioIncompleto,Solterx,Oficinista,Negrx,Femenino,40,50milO-
28,Privado,Universitario,Casadx,Servicio,Blancx,Masculino,50,50milO-
27,Privado,Secundario,Solterx,Servicio,Blancx,Femenino,40,50milO-
40,Gubernamental,Universitario,Solterx,Profesional,Blancx,Femenino,20,50milO-
51,Privado,Secundario,Divorciadx,Servicio,Blancx,Femenino,40,50milO-
52,Privado,Tecnicatura,Casadx,Obrero,Blancx,Masculino,56,50milO-
74,Otro/Desconocido,UniversitarioIncompleto,Viudx,Otro/Desconocido,Blancx,Femenino,3,50milO-
49,Autónomo,UniversitarioIncompleto,Casadx,Oficinista,Blancx,Masculino,50,+50mil
20,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Blancx,Femenino,40,50milO-
40,Gubernamental,UniversitarioIncompleto,Divorciadx,Oficinista,Blancx,Femenino,50,50milO-
80,Privado,UniversitarioIncompleto,Solterx,Profesional,Blancx,Masculino,60,50milO-
63,Privado,UniversitarioIncompleto,Casadx,Servicio,Blancx,Masculino,40,50milO-
63,Privado,Secundario,Divorciadx,Obrero,Blancx,Masculino,45,+50mil
51,Privado,UniversitarioIncompleto,Divorciadx,Oficinista,Blancx,Femenino,40,50milO-
23,Privado,Secundario,Solterx,Oficinista,Blancx,Femenino,40,50milO-
66,Autónomo,Secundario,Viudx,Obrero,Blancx,Masculino,20,50milO-
33,Autónomo,Secundario,Casadx,Ventas,Blancx,Masculino,66,50milO-
49,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,43,50milO-
20,Privado,UniversitarioIncompleto,Solterx,Obrero,Blancx,Masculino,32,50milO-
33,Autónomo,Tecnicatura,Casadx,Oficinista,Blancx,Masculino,60,+50mil
26,Privado,UniversitarioIncompleto,Casadx,Servicio,Blancx,Masculino,40,50milO-
52,Privado,Secundario,Casadx,Oficinista,Blancx,Masculino,50,+50mil
33,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,50,+50mil
47,Privado,Universitario,Divorciadx,Ventas,Blancx,Masculino,45,50milO-
23,Privado,Secundario,Solterx,Oficinista,Negrx,Masculino,75,50milO-
53,Gubernamental,Tecnicatura,Casadx,Oficinista,Blancx,Masculino,40,50milO-
19,Privado,UniversitarioIncompleto,Solterx,Servicio,Blancx,Masculino,20,50milO-
26,Gubernamental,UniversitarioIncompleto,Solterx,Obrero,Blancx,Masculino,40,50milO-
53,Privado,7º-8º,Casadx,Obrero,Blancx,Masculino,60,+50mil
65,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,10,50milO-
68,Privado,Universitario,Casadx,Obrero,Blancx,Masculino,30,50milO-
30,Privado,10º,Solterx,Ventas,Blancx,Masculino,18,50milO-
28,Privado,11º,Casadx,Obrero,Blancx,Masculino,45,50milO-
54,Gubernamental,10º,Casadx,Servicio,Blancx,Masculino,45,50milO-
30,Privado,Secundario,Solterx,Servicio,Blancx,Masculino,10,50milO-
22,Privado,UniversitarioIncompleto,Solterx,Oficinista,Blancx,Masculino,50,50milO-
25,Privado,Secundario,Solterx,Servicio,Blancx,Masculino,30,50milO-
19,Privado,11º,Solterx,Servicio,Blancx,Masculino,20,50milO-
19,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Blancx,Femenino,35,50milO-
32,Gubernamental,FormaciónProfesional,Casadx,Profesional,Blancx,Masculino,40,+50mil
23,Privado,Universitario,Solterx,Oficinista,Blancx,Femenino,40,50milO-
51,Gubernamental,Universitario,Casadx,Profesional,Blancx,Masculino,45,50milO-
25,Privado,UniversitarioIncompleto,Casadx,Ventas,Blancx,Masculino,44,+50mil
46,Gubernamental,Universitario,Solterx,Profesional,Negrx,Femenino,40,50milO-
38,Privado,UniversitarioIncompleto,Divorciadx,Servicio,Blancx,Femenino,50,50milO-
26,Gubernamental,Secundario,Casadx,Servicio,Asiáticx/IsleñxDelPacífico,Masculino,40,+50mil
46,Privado,Secundario,Divorciadx,Profesional,Blancx,Femenino,40,50milO-
25,Privado,Universitario,Solterx,Profesional,Blancx,Femenino,40,50milO-
20,Privado,UniversitarioIncompleto,Solterx,Servicio,Blancx,Femenino,16,50milO-
29,Gubernamental,Magíster,Casadx,Profesional,Blancx,Masculino,35,50milO-
51,Autónomo,Magíster,Casadx,Oficinista,Blancx,Masculino,50,+50mil
40,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,52,50milO-
24,Privado,UniversitarioIncompleto,Solterx,Oficinista,Blancx,Femenino,40,50milO-
24,Autónomo,Universitario,Solterx,Obrero,Blancx,Masculino,50,50milO-
31,Privado,Tecnicatura,Casadx,Servicio,Indígena/Esquimal,Femenino,24,50milO-
54,Otro/Desconocido,Secundario,Divorciadx,Otro/Desconocido,Blancx,Femenino,30,50milO-
34,Privado,Tecnicatura,Separadx,Obrero,Blancx,Masculino,60,50milO-
19,Privado,UniversitarioIncompleto,Solterx,Obrero,Blancx,Masculino,66,50milO-
21,Privado,Secundario,Solterx,Obrero,Negrx,Masculino,40,50milO-
21,Privado,10º,Casadx,Obrero,Blancx,Masculino,70,50milO-
23,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,24,50milO-
37,Gubernamental,UniversitarioIncompleto,Solterx,Obrero,Blancx,Masculino,40,50milO-
40,Privado,Magíster,Casadx,Oficinista,Blancx,Masculino,46,+50mil
57,Privado,Secundario,Casadx,Servicio,Blancx,Masculino,30,50milO-
48,Privado,Universitario,Casadx,Profesional,Blancx,Masculino,40,+50mil
24,Privado,11º,Casadx,Obrero,Asiáticx/IsleñxDelPacífico,Masculino,40,50milO-
43,Privado,UniversitarioIncompleto,Casadx,Profesional,Blancx,Masculino,40,50milO-
32,Otro/Desconocido,Universitario,Solterx,Otro/Desconocido,Blancx,Femenino,20,50milO-
40,Privado,Secundario,Solterx,Servicio,Blancx,Femenino,40,50milO-
52,Autónomo,FormaciónProfesional,Casadx,Profesional,Blancx,Masculino,35,+50mil
49,Privado,Secundario,Divorciadx,Oficinista,Blancx,Masculino,40,50milO-
45,Autónomo,UniversitarioIncompleto,Casadx,Oficinista,Indígena/Esquimal,Masculino,40,50milO-
62,Gubernamental,Secundario,Solterx,Obrero,Blancx,Masculino,40,50milO-
29,Privado,Tecnicatura,Casadx,Oficinista,Blancx,Masculino,40,50milO-
49,Privado,Secundario,Separadx,Obrero,Blancx,Femenino,40,50milO-
55,Gubernamental,UniversitarioIncompleto,Divorciadx,Oficinista,Negrx,Femenino,40,50milO-
20,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Indígena/Esquimal,Masculino,72,50milO-
37,Autónomo,Universitario,Solterx,Oficinista,Blancx,Masculino,40,50milO-
43,Gubernamental,Universitario,Casadx,Oficinista,Blancx,Masculino,40,+50mil
29,Privado,UniversitarioIncompleto,Divorciadx,Oficinista,Blancx,Femenino,40,50milO-
44,Privado,Secundario,Casadx,Ventas,Blancx,Femenino,40,+50mil
28,Privado,UniversitarioIncompleto,Separadx,Servicio,Blancx,Masculino,40,+50mil
38,Privado,UniversitarioIncompleto,Solterx,Oficinista,Blancx,Femenino,45,50milO-
45,Privado,Tecnicatura,Casadx,Ventas,Blancx,Masculino,50,+50mil
22,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Blancx,Masculino,40,50milO-
19,Privado,UniversitarioIncompleto,Solterx,Servicio,Blancx,Femenino,20,50milO-
20,Privado,12º,Solterx,Servicio,Blancx,Masculino,40,50milO-
60,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
30,Privado,Secundario,Solterx,Ventas,Blancx,Femenino,40,50milO-
22,Privado,UniversitarioIncompleto,Solterx,Oficinista,Asiáticx/IsleñxDelPacífico,Masculino,40,50milO-
51,Privado,UniversitarioIncompleto,Divorciadx,Ventas,Blancx,Femenino,60,50milO-
31,Privado,Universitario,Solterx,Profesional,Negrx,Femenino,40,50milO-
48,Privado,Secundario,Divorciadx,Oficinista,Blancx,Femenino,40,50milO-
43,Privado,Universitario,Casadx,Ventas,Blancx,Masculino,40,+50mil
51,Gubernamental,Secundario,Divorciadx,Obrero,Negrx,Masculino,40,50milO-
41,Privado,Tecnicatura,Casadx,Servicio,Blancx,Masculino,48,+50mil
62,Otro/Desconocido,Tecnicatura,Casadx,Otro/Desconocido,Blancx,Masculino,40,50milO-
50,Gubernamental,Secundario,Casadx,Obrero,Negrx,Masculino,40,+50mil
46,Privado,Secundario,Casadx,Ventas,Blancx,Femenino,40,+50mil
54,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,60,+50mil
68,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,45,+50mil
23,Autónomo,Tecnicatura,Solterx,Obrero,Blancx,Masculino,30,50milO-
49,Privado,Magíster,Solterx,Ventas,Blancx,Femenino,35,50milO-
24,Privado,10º,Casadx,Obrero,Blancx,Masculino,40,50milO-
30,Gubernamental,Secundario,Casadx,Servicio,Negrx,Masculino,40,50milO-
38,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,45,50milO-
34,Privado,Secundario,Solterx,Ventas,Blancx,Femenino,35,50milO-
22,Privado,UniversitarioIncompleto,Solterx,Oficinista,Blancx,Masculino,40,50milO-
30,Privado,7º-8º,Separadx,Obrero,Blancx,Masculino,40,50milO-
61,Privado,7º-8º,Casadx,Obrero,Blancx,Masculino,31,50milO-
36,Privado,Secundario,Divorciadx,Oficinista,Blancx,Masculino,40,50milO-
51,Autónomo,Tecnicatura,Casadx,Oficinista,Blancx,Masculino,40,50milO-
43,Privado,5º-6º,Casadx,Obrero,Asiáticx/IsleñxDelPacífico,Femenino,40,+50mil
54,Gubernamental,UniversitarioIncompleto,Casadx,Servicio,Blancx,Masculino,48,+50mil
63,Privado,Secundario,Viudx,Profesional,Blancx,Femenino,25,50milO-
51,Privado,UniversitarioIncompleto,Casadx,Oficinista,Blancx,Masculino,40,+50mil
63,Autónomo,10º,Casadx,Obrero,Blancx,Masculino,40,50milO-
51,Gubernamental,Magíster,Casadx,Profesional,Blancx,Masculino,60,+50mil
27,Privado,Secundario,Divorciadx,Ventas,Blancx,Femenino,35,50milO-
35,Privado,Tecnicatura,Casadx,Servicio,Blancx,Masculino,40,+50mil
31,Otro/Desconocido,Universitario,Casadx,Otro/Desconocido,Blancx,Femenino,25,+50mil
46,Autónomo,Secundario,Separadx,Obrero,Blancx,Masculino,40,50milO-
53,Privado,Tecnicatura,Casadx,Obrero,Negrx,Masculino,40,+50mil
26,Gubernamental,UniversitarioIncompleto,Divorciadx,Oficinista,Blancx,Masculino,24,50milO-
43,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,40,50milO-
39,Privado,Secundario,Casadx,Ventas,Blancx,Masculino,50,+50mil
50,Gubernamental,Secundario,Divorciadx,Profesional,Blancx,Masculino,40,50milO-
54,Gubernamental,Secundario,Casadx,Oficinista,Blancx,Masculino,40,+50mil
62,Otro/Desconocido,UniversitarioIncompleto,Casadx,Otro/Desconocido,Blancx,Femenino,45,+50mil
57,Gubernamental,UniversitarioIncompleto,Divorciadx,Profesional,Blancx,Femenino,40,50milO-
19,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Negrx,Masculino,24,50milO-
29,Gubernamental,Secundario,Solterx,Servicio,Blancx,Masculino,20,50milO-
20,Privado,Secundario,Solterx,Obrero,Negrx,Masculino,40,50milO-
53,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,55,+50mil
18,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Blancx,Masculino,40,50milO-
22,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Blancx,Masculino,40,50milO-
23,Privado,Secundario,Solterx,Servicio,Blancx,Masculino,40,50milO-
69,Privado,11º,Casadx,Oficinista,Blancx,Masculino,20,50milO-
56,Privado,7º-8º,Casadx,Obrero,Blancx,Masculino,40,50milO-
53,Gubernamental,Universitario,Casadx,Profesional,Negrx,Masculino,35,50milO-
28,Privado,Secundario,Solterx,Oficinista,Blancx,Masculino,40,50milO-
28,Privado,Universitario,Casadx,Servicio,Negrx,Masculino,40,50milO-
33,Autónomo,Secundario,Casadx,Oficinista,Asiáticx/IsleñxDelPacífico,Masculino,84,+50mil
48,Privado,Secundario,Divorciadx,Ventas,Blancx,Femenino,30,50milO-
61,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,+50mil
49,Privado,Universitario,Casadx,Profesional,Blancx,Masculino,45,50milO-
48,Privado,UniversitarioIncompleto,Casadx,Oficinista,Blancx,Masculino,40,50milO-
32,Privado,7º-8º,Casadx,Obrero,Blancx,Masculino,40,50milO-
51,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,+50mil
27,Otro/Desconocido,Universitario,Solterx,Otro/Desconocido,Blancx,Masculino,40,50milO-
19,Privado,UniversitarioIncompleto,Solterx,Servicio,Blancx,Masculino,14,50milO-
47,Privado,Secundario,Casadx,Profesional,Blancx,Masculino,50,50milO-
25,Privado,Universitario,Solterx,Obrero,Blancx,Masculino,60,50milO-
72,Privado,UniversitarioIncompleto,Casadx,Servicio,Negrx,Masculino,40,50milO-
29,Privado,11º,Divorciadx,Obrero,Blancx,Masculino,40,50milO-
22,Privado,Secundario,Solterx,Oficinista,Blancx,Femenino,40,50milO-
57,Privado,Secundario,Casadx,Servicio,Negrx,Masculino,48,50milO-
50,Privado,Tecnicatura,Casadx,Oficinista,Blancx,Masculino,60,50milO-
45,Autónomo,UniversitarioIncompleto,Casadx,Ventas,Blancx,Masculino,30,50milO-
52,Privado,UniversitarioIncompleto,Divorciadx,Profesional,Blancx,Masculino,40,+50mil
53,Privado,Magíster,Casadx,Oficinista,Blancx,Masculino,48,+50mil
36,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,48,50milO-
46,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,+50mil
20,Privado,Secundario,Solterx,Ventas,Blancx,Femenino,20,50milO-
75,Privado,5º-6º,Viudx,Servicio,Negrx,Masculino,10,50milO-
32,Gubernamental,Secundario,Casadx,Obrero,Blancx,Masculino,40,+50mil
28,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
53,Privado,Magíster,Divorciadx,Profesional,Blancx,Femenino,40,50milO-
17,Privado,11º,Solterx,Ventas,Blancx,Femenino,35,50milO-
46,Gubernamental,Tecnicatura,Divorciadx,Oficinista,Blancx,Femenino,38,50milO-
39,Privado,Tecnicatura,Separadx,Profesional,Blancx,Femenino,30,50milO-
38,Privado,UniversitarioIncompleto,Divorciadx,Obrero,Blancx,Masculino,40,50milO-
36,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,60,50milO-
63,Gubernamental,Universitario,Solterx,Profesional,Negrx,Femenino,21,50milO-
28,Privado,1º-4º,Casadx,Obrero,Blancx,Masculino,43,50milO-
28,Otro/Desconocido,Universitario,Solterx,Otro/Desconocido,Blancx,Masculino,45,50milO-
49,Privado,Secundario,Solterx,Oficinista,Blancx,Femenino,35,50milO-
43,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,40,50milO-
38,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,45,+50mil
39,Privado,Secundario,Solterx,Servicio,Blancx,Masculino,62,50milO-
42,Otro/Desconocido,Secundario,Divorciadx,Otro/Desconocido,Negrx,Femenino,40,50milO-
40,Privado,Secundario,Casadx,Oficinista,Blancx,Masculino,40,50milO-
45,Otro/Desconocido,Secundario,Separadx,Otro/Desconocido,Blancx,Femenino,10,50milO-
29,Otro/Desconocido,Secundario,Divorciadx,Otro/Desconocido,Blancx,Femenino,40,50milO-
24,Gubernamental,Universitario,Solterx,Profesional,Blancx,Masculino,45,50milO-
30,Privado,UniversitarioIncompleto,Casadx,Servicio,Blancx,Masculino,50,+50mil
44,Privado,UniversitarioIncompleto,Casadx,Obrero,Negrx,Masculino,40,50milO-
40,Privado,Secundario,Casadx,Ventas,Blancx,Masculino,24,50milO-
30,Privado,Secundario,Solterx,Obrero,Blancx,Femenino,35,50milO-
42,Privado,Magíster,Divorciadx,Profesional,Blancx,Femenino,40,50milO-
52,Autónomo,Tecnicatura,Divorciadx,Profesional,Blancx,Femenino,35,50milO-
42,Privado,UniversitarioIncompleto,Casadx,Obrero,Negrx,Masculino,40,+50mil
39,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,52,+50mil
43,Privado,UniversitarioIncompleto,Divorciadx,Profesional,Blancx,Masculino,45,50milO-
62,Autónomo,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
30,Privado,Tecnicatura,Casadx,Obrero,Blancx,Masculino,40,50milO-
83,Otro/Desconocido,Secundario,Viudx,Otro/Desconocido,Blancx,Femenino,20,50milO-
39,Privado,Universitario,Casadx,Profesional,Blancx,Masculino,55,+50mil
41,Privado,Secundario,Casadx,Obrero,Blancx,Femenino,20,50milO-
49,Privado,Magíster,Casadx,Profesional,Blancx,Femenino,40,+50mil
25,Privado,11º,Casadx,Obrero,Blancx,Masculino,40,50milO-
48,Privado,11º,Casadx,Obrero,Blancx,Masculino,40,50milO-
59,Otro/Desconocido,Tecnicatura,Divorciadx,Otro/Desconocido,Blancx,Masculino,8,50milO-
44,Gubernamental,Universitario,Solterx,Oficinista,Blancx,Masculino,40,50milO-
36,Privado,9º,Divorciadx,Obrero,Blancx,Masculino,56,50milO-
40,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,40,50milO-
21,Privado,Secundario,Solterx,Oficinista,Negrx,Femenino,35,50milO-
41,Privado,UniversitarioIncompleto,Separadx,Oficinista,Blancx,Femenino,38,50milO-
24,Privado,Universitario,Solterx,Oficinista,Blancx,Femenino,50,50milO-
67,Autónomo,Secundario,Casadx,Obrero,Blancx,Masculino,60,50milO-
24,Privado,Universitario,Solterx,Oficinista,Blancx,Masculino,38,50milO-
50,Autónomo,Universitario,Casadx,Ventas,Blancx,Masculino,60,50milO-
48,Privado,Magíster,Divorciadx,Ventas,Blancx,Masculino,35,50milO-
55,Otro/Desconocido,Tecnicatura,Casadx,Otro/Desconocido,Negrx,Masculino,20,+50mil
29,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,40,50milO-
50,Privado,Universitario,Divorciadx,Profesional,Blancx,Femenino,36,50milO-
64,Gubernamental,10º,Casadx,Oficinista,Blancx,Masculino,40,+50mil
49,Privado,9º,Divorciadx,Servicio,Negrx,Masculino,37,50milO-
20,Privado,Secundario,Solterx,Servicio,Negrx,Masculino,52,50milO-
30,Privado,Secundario,Separadx,Oficinista,Blancx,Femenino,40,50milO-
37,Privado,Universitario,Casadx,Servicio,Asiáticx/IsleñxDelPacífico,Masculino,30,50milO-
52,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,+50mil
22,Privado,UniversitarioIncompleto,Solterx,Servicio,Blancx,Masculino,25,50milO-
